,frequent_itemset,support
115,"('2spe', '1ins')",11.48521505376344
116,"('2spe', '1dur')",10.40994623655914
117,"('2spe', '2lou')",15.154569892473118
118,"('2spe', '2tem')",13.071236559139784
119,"('2spe', '0aco')",13.286290322580646
120,"('2spe', '1lou')",10.504032258064516
121,"('2spe', '0tem')",11.55241935483871
122,"('2spe', '0dur')",12.93010752688172
123,"('2spe', '0ins')",12.237903225806452
124,"('2spe', '1val')",11.98252688172043
125,"('2spe', '1aco')",12.84274193548387
126,"('2spe', '0dan')",10.383064516129032
127,"('2spe', '0liv')",10.403225806451614
128,"('2spe', '0pop')",13.064516129032258
129,"('2aco', '1dan')",10.913978494623656
130,"('2aco', '2ins', '0lou')",10.651881720430108
131,"('2aco', '0lou', '0tem')",10.181451612903226
132,"('2aco', '0lou', '0dur')",10.255376344086022
133,"('2aco', '0lou', '0val')",10.873655913978494
134,"('2aco', '0lou', '0dan')",10.853494623655914
135,"('2aco', '1spe')",10.120967741935484
136,"('2aco', '0ins')",12.345430107526882
137,"('2aco', '1val')",10.698924731182796
138,"('2aco', '0spe')",16.008064516129032
139,"('2aco', '0liv')",10.907258064516128
140,"('1dan', '1ins')",12.28494623655914
141,"('1dan', '1dur')",13.19220430107527
142,"('1dan', '1tem')",10.450268817204302
143,"('1dan', '2lou')",12.909946236559138
144,"('1dan', '2tem')",12.506720430107526
145,"('1dan', '2dur')",10.08736559139785
146,"('1dan', '0aco')",10.793010752688172
147,"('1dan', '1lou')",11.868279569892474
148,"('1dan', '0tem')",10.356182795698924
149,"('1dan', '0dur')",10.033602150537636
150,"('1dan', '0ins')",13.655913978494624
151,"('1dan', '1val')",13.561827956989248
152,"('1dan', '0spe')",13.588709677419356
153,"('1dan', '1aco')",11.606182795698924
154,"('1ins', '1dur')",12.768817204301076
155,"('1ins', '1tem')",11.155913978494624
156,"('1ins', '2lou')",12.755376344086022
157,"('1ins', '2tem')",12.143817204301076
158,"('1ins', '2dur')",11.364247311827958
159,"('1ins', '0aco')",14.086021505376344
160,"('1ins', '1lou')",11.545698924731184
161,"('1ins', '0tem')",10.02016129032258
162,"('1ins', '1spe')",10.34274193548387
163,"('1ins', '1val')",11.834677419354838
164,"('1ins', '0spe')",11.491935483870968
165,"('1ins', '1aco')",10.450268817204302
166,"('1ins', '0dan')",10.793010752688172
167,"('1ins', '0liv')",11.155913978494624
168,"('1ins', '0pop')",10.94758064516129
169,"('2ins', '1tem')",12.419354838709678
170,"('2ins', '0lou', '0val')",11.76747311827957
171,"('2ins', '2dur')",14.274193548387096
172,"('2ins', '0aco')",13.870967741935484
173,"('2ins', '0tem')",11.653225806451612
174,"('2ins', '1spe')",14.758064516129032
175,"('2ins', '0dur')",12.533602150537634
176,"('2ins', '0val', '0dan')",11.733870967741936
177,"('2ins', '0liv')",13.266129032258064
178,"('2ins', '0pop')",17.338709677419356
179,"('1dur', '1tem')",10.571236559139784
180,"('1dur', '2lou')",13.736559139784946
181,"('1dur', '2tem')",11.98252688172043
182,"('1dur', '0aco')",11.478494623655914
183,"('1dur', '1lou')",11.418010752688172
184,"('1dur', '0tem')",10.772849462365592
185,"('1dur', '1spe')",10.463709677419354
186,"('1dur', '0ins')",14.038978494623656
187,"('1dur', '1val')",12.211021505376344
188,"('1dur', '0spe')",12.452956989247312
189,"('1dur', '1aco')",11.85483870967742
190,"('1dur', '0dan')",10.262096774193548
191,"('1dur', '0liv')",10.685483870967742
192,"('1tem', '0lou')",10.880376344086022
193,"('1tem', '2lou')",10.235215053763442
194,"('1tem', '2dur')",14.287634408602152
195,"('1tem', '0aco')",14.045698924731182
196,"('1tem', '1lou')",12.211021505376344
197,"('1tem', '1spe')",12.641129032258064
198,"('1tem', '1val')",10.692204301075268
199,"('1tem', '0spe')",12.016129032258064
200,"('1tem', '0val')",10.114247311827956
201,"('1tem', '1aco')",10.564516129032258
202,"('1tem', '0liv')",12.721774193548388
203,"('1tem', '0pop')",12.399193548387096
204,"('0lou', '2dur')",10.974462365591398
205,"('0lou', '1spe')",12.513440860215052
206,"('0lou', '0spe')",13.185483870967744
207,"('0lou', '0val', '0dan')",11.673387096774194
208,"('0lou', '0liv')",12.28494623655914
209,"('0lou', '0pop')",13.212365591397848
210,"('2lou', '2tem')",14.583333333333334
211,"('2lou', '0aco')",16.108870967741936
212,"('2lou', '1spe')",10.75268817204301
213,"('2lou', '0ins')",15.309139784946236
