,frequent_itemset,support
169,"('2aco', '0lou', '0dur')",10.255376344086022
170,"('2aco', '0lou', '0tem')",10.181451612903226
171,"('2aco', '0lou')",19.885752688172044
172,"('2aco', '2ins', '0lou')",10.651881720430108
173,"('2aco', '2ins')",12.163978494623656
174,"('2aco', '1dan')",10.913978494623656
175,"('2spe', '0pop')",13.064516129032258
176,"('2spe', '0liv')",10.403225806451614
177,"('2spe', '0dan')",10.383064516129032
178,"('2spe', '1aco')",12.84274193548387
179,"('2spe', '1val')",11.98252688172043
180,"('2spe', '0ins')",12.237903225806452
181,"('2spe', '0dur')",12.93010752688172
182,"('2spe', '0tem')",11.55241935483871
183,"('2spe', '1lou')",10.504032258064516
184,"('2spe', '0aco')",13.286290322580646
185,"('2spe', '2tem')",13.071236559139784
186,"('2spe', '2lou')",15.154569892473118
187,"('2spe', '1dur')",10.40994623655914
188,"('2spe', '1ins')",11.48521505376344
189,"('2val', '0liv')",11.713709677419356
190,"('2val', '1aco')",14.905913978494622
191,"('2val', '0spe')",10.28225806451613
192,"('2val', '0ins')",15.067204301075268
193,"('2val', '0dur')",12.977150537634408
194,"('2val', '1spe')",11.538978494623656
195,"('2val', '1lou')",11.989247311827956
196,"('2val', '2tem')",11.471774193548386
197,"('2val', '2lou')",14.401881720430106
198,"('2val', '1tem')",12.520161290322582
199,"('2val', '1dur')",12.39247311827957
200,"('2val', '1ins')",11.935483870967742
201,"('2val', '1dan')",12.063172043010754
202,"('2val', '2spe')",11.451612903225806
203,"('2liv', '0pop')",10.288978494623656
204,"('2liv', '0dan')",13.239247311827956
205,"('2liv', '1aco')",11.948924731182796
206,"('2liv', '0val')",10.443548387096774
207,"('2liv', '1val')",10.530913978494624
208,"('2liv', '0ins')",12.708333333333332
209,"('2liv', '0dur')",10.92741935483871
210,"('2liv', '1spe')",10.396505376344086
211,"('2liv', '0tem')",10.456989247311828
212,"('2liv', '1lou')",10.490591397849462
213,"('2liv', '0aco')",12.883064516129034
214,"('2liv', '2dur')",10.43010752688172
215,"('2liv', '2tem')",12.573924731182796
216,"('2liv', '2lou')",14.381720430107528
217,"('2liv', '1tem')",10.235215053763442
218,"('2liv', '1dur')",11.908602150537634
219,"('2liv', '1ins')",12.26478494623656
220,"('2liv', '1dan')",11.895161290322582
