,duration_ms,popularity,danceability,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
42,1.0769575080345617,0.49,0.578,0.5919669195795234,0.0278,0.661,0.0,0.138,0.343,0.46156266996774054
43,-0.3793011260662857,0.44,0.756,0.526224621033649,0.0682,0.0894,0.00044,0.129,0.709,-0.060713530374978945
44,0.2932521435172109,0.0,0.238,0.4840692540271339,0.151,0.0106,0.73,0.254,0.156,-1.03442771618332
45,-0.4846561064622527,0.46,0.667,-1.5164705635558489,0.0316,0.867,0.000222,0.108,0.307,-1.0852792006834393
46,1.206048397533378,0.12,0.466,0.1213992712091805,0.0311,0.0304,0.0405,0.171,0.659,1.8390415745228403
47,0.4393140125063677,0.32,0.591,-1.4094093140154935,0.0811,0.926,0.00106,0.294,0.522,-1.7343892260905676
48,1.3786811894803377,0.56,0.538,0.3340162214682298,0.0515,0.0567,9.07e-06,0.178,0.345,0.33161615738560646
49,0.7831132099235867,0.23,0.593,-0.9278009742863016,0.043,0.00315,0.124,0.0639,0.328,1.5060167752578841
50,-0.4545951836899043,0.67,0.725,0.7495476962467339,0.102,0.0646,0.00883,0.121,0.867,0.9204383403441398
51,-1.574660278232683,0.25,0.198,-0.9498823570039996,0.0506,0.831,0.927,0.0979,0.234,-1.5498232388552764
52,0.1199643656106588,0.43,0.301,0.379349969320474,0.0259,0.34,2.46e-06,0.205,0.193,-1.615419032649889
53,-0.8635019406725998,0.53,0.689,0.7314811103867989,0.122,0.0359,0.000547,0.0743,0.514,0.5953099378346787
54,0.2509615575291851,0.21,0.585,-0.9400126480619984,0.0313,0.696,0.000177,0.177,0.509,0.1545533853246242
55,-0.3247808768625826,0.44,0.666,0.0815858690363609,0.12,0.67,2.99e-06,0.149,0.633,0.20314407573292037
56,0.3467654740069134,0.17,0.593,0.3274921765743643,0.0269,0.577,0.00228,0.203,0.665,-0.9133605543096469
57,-1.2309392880942214,0.42,0.725,-0.0261445133136216,0.027,0.321,0.0,0.101,0.975,-0.8607069875624229
58,0.2752155898538018,0.11,0.615,-0.0590993041877623,0.0425,0.0907,0.729,0.183,0.644,-0.9440614827739586
59,2.580942133997069,0.07,0.885,0.3305032742176869,0.0599,0.000285,0.0934,0.0555,0.708,0.14731229120443956
60,-0.6067083408729096,0.37,0.422,-0.8004984572547229,0.0315,0.901,0.0,0.0546,0.231,-1.5298365084782966
61,-0.6752570207037085,0.58,0.205,-3.6762639898301104,0.0462,0.97,0.979,0.143,0.0592,-1.205101287550022
